run,label,text_params,image_params,epoch,loss,val_i2t_r1,val_i2t_r5,val_i2t_r10,val_t2i_r1,gamma,hardest_negative_margin,grad_norm,seconds
n4r,"4 qubits/type, 2 layers",3444019,159668,1,5.0707,0.018,0.074,0.13,0.0116,0.1877,-0.2054,0.2226,5279.1
n4r,"4 qubits/type, 2 layers",3444019,159668,2,4.8568,0.03,0.109,0.177,0.0185,0.2257,-0.205,0.2958,5144.3
n4r,"4 qubits/type, 2 layers",3444019,159668,3,4.711,0.039,0.13,0.213,0.0207,0.2508,-0.199,0.3388,5216.6
n4r,"4 qubits/type, 2 layers",3444019,159668,4,4.5894,0.043,0.166,0.26,0.0289,0.2708,-0.194,0.375,5288.5
n4r,"4 qubits/type, 2 layers",3444019,159668,5,4.4895,0.044,0.171,0.304,0.0337,0.2874,-0.1908,0.4074,5300.3
n4r,"4 qubits/type, 2 layers",3444019,159668,6,4.4047,0.048,0.202,0.314,0.0359,0.3001,-0.1886,0.4249,5172.2
n4r,"4 qubits/type, 2 layers",3444019,159668,7,4.3358,0.062,0.206,0.332,0.0403,0.3115,-0.187,0.4431,5197.4
n4r,"4 qubits/type, 2 layers",3444019,159668,8,4.279,0.059,0.217,0.35,0.0427,0.3219,-0.1855,0.4628,5188.2
n4r,"4 qubits/type, 2 layers",3444019,159668,9,4.2205,0.074,0.233,0.357,0.0463,0.3283,-0.1834,0.471,5271.5
n4r,"4 qubits/type, 2 layers",3444019,159668,10,4.1707,0.067,0.248,0.371,0.0481,0.3359,-0.1825,0.4792,5183.5
n4r,"4 qubits/type, 2 layers",3444019,159668,11,4.1258,0.076,0.247,0.389,0.053,0.3421,-0.1823,0.4886,5180.4
n4r,"4 qubits/type, 2 layers",3444019,159668,12,4.0796,0.082,0.236,0.384,0.0558,0.3486,-0.1812,0.4912,5158.5
n4r,"4 qubits/type, 2 layers",3444019,159668,13,4.0469,0.078,0.271,0.408,0.056,0.3537,-0.1802,0.5037,5282.4
n4r,"4 qubits/type, 2 layers",3444019,159668,14,4.0065,0.099,0.271,0.413,0.0616,0.3591,-0.1789,0.5045,5233.9
n4r,"4 qubits/type, 2 layers",3444019,159668,15,3.9786,0.1,0.285,0.437,0.0578,0.3632,-0.1793,0.5065,5194.9
n4r,"4 qubits/type, 2 layers",3444019,159668,16,3.9487,0.094,0.285,0.448,0.0614,0.3671,-0.1782,0.5129,5104.5
n4r,"4 qubits/type, 2 layers",3444019,159668,17,3.9206,0.097,0.301,0.463,0.066,0.3724,-0.1765,0.5185,5119.7
n4r,"4 qubits/type, 2 layers",3444019,159668,18,3.8965,0.106,0.31,0.471,0.0688,0.3755,-0.1765,0.5223,5181.7
n4r,"4 qubits/type, 2 layers",3444019,159668,19,3.8687,0.11,0.324,0.495,0.071,0.3789,-0.1751,0.5254,5234.9
n4r,"4 qubits/type, 2 layers",3444019,159668,20,3.8399,0.118,0.335,0.494,0.0762,0.3827,-0.1743,0.5311,5255.9
n4r,"4 qubits/type, 2 layers",3444019,159668,21,3.8088,0.119,0.35,0.493,0.0752,0.3867,-0.1744,0.5356,5285.9
n4r,"4 qubits/type, 2 layers",3444019,159668,22,3.795,0.13,0.339,0.513,0.0752,0.3898,-0.1737,0.5364,5482.7
n4r,"4 qubits/type, 2 layers",3444019,159668,23,3.7658,0.118,0.348,0.5,0.0766,0.3931,-0.1727,0.539,5843.5
n4r,"4 qubits/type, 2 layers",3444019,159668,24,3.7473,0.115,0.353,0.51,0.0792,0.3941,-0.1715,0.5431,5871.5
n4r,"4 qubits/type, 2 layers",3444019,159668,25,3.7254,0.127,0.344,0.499,0.0782,0.3972,-0.1723,0.5395,5768.2
n4r,"4 qubits/type, 2 layers",3444019,159668,26,3.7112,0.126,0.365,0.496,0.0822,0.3993,-0.171,0.5492,5245.3
n4r,"4 qubits/type, 2 layers",3444019,159668,27,3.6955,0.14,0.358,0.519,0.0835,0.4021,-0.1707,0.5438,5239.9
n4r,"4 qubits/type, 2 layers",3444019,159668,28,3.6714,0.125,0.361,0.515,0.0832,0.4043,-0.1703,0.5494,5226.4
n4r,"4 qubits/type, 2 layers",3444019,159668,29,3.6576,0.124,0.347,0.532,0.0822,0.4064,-0.1691,0.5499,5191.1
n4r,"4 qubits/type, 2 layers",3444019,159668,30,3.6443,0.128,0.368,0.532,0.0865,0.4094,-0.1697,0.5515,5204.2
n4r,"4 qubits/type, 2 layers",3444019,159668,31,3.6284,0.129,0.358,0.525,0.0863,0.409,-0.1682,0.554,5157.2
n4r,"4 qubits/type, 2 layers",3444019,159668,32,3.6104,0.123,0.342,0.514,0.0863,0.4114,-0.1689,0.5557,5179.2
n4r,"4 qubits/type, 2 layers",3444019,159668,33,3.5908,0.13,0.37,0.521,0.0899,0.4143,-0.1686,0.5582,5216.6
n4r,"4 qubits/type, 2 layers",3444019,159668,34,3.5804,0.124,0.371,0.539,0.0889,0.4153,-0.1667,0.5592,5187.7
n4r,"4 qubits/type, 2 layers",3444019,159668,35,3.5709,0.138,0.372,0.548,0.0909,0.4167,-0.168,0.5591,5235.1
n4r,"4 qubits/type, 2 layers",3444019,159668,36,3.5502,0.137,0.379,0.537,0.0901,0.4175,-0.1686,0.5592,5441.2
n4r,"4 qubits/type, 2 layers",3444019,159668,37,3.5392,0.147,0.381,0.541,0.0955,0.4184,-0.1677,0.5656,5429.7
n4r,"4 qubits/type, 2 layers",3444019,159668,38,3.5355,0.139,0.391,0.53,0.0931,0.419,-0.1661,0.5637,5388.6
n4r,"4 qubits/type, 2 layers",3444019,159668,39,3.5255,0.145,0.386,0.543,0.0925,0.4213,-0.1661,0.5617,5363.9
n4r,"4 qubits/type, 2 layers",3444019,159668,40,3.5124,0.131,0.387,0.552,0.0995,0.4217,-0.1654,0.562,5273.4
n4r,"4 qubits/type, 2 layers",3444019,159668,41,3.5026,0.156,0.387,0.547,0.0967,0.4232,-0.165,0.5684,5286.6
n4r,"4 qubits/type, 2 layers",3444019,159668,42,3.493,0.145,0.391,0.547,0.0953,0.4249,-0.1651,0.5674,5209.0
n4r,"4 qubits/type, 2 layers",3444019,159668,43,3.4777,0.143,0.383,0.541,0.0983,0.4251,-0.1655,0.5662,5179.9
n4r,"4 qubits/type, 2 layers",3444019,159668,44,3.4692,0.152,0.402,0.545,0.1003,0.4264,-0.1641,0.5664,5092.9
n4r,"4 qubits/type, 2 layers",3444019,159668,45,3.4537,0.158,0.406,0.547,0.0977,0.4277,-0.1646,0.5691,5160.4
n4r,"4 qubits/type, 2 layers",3444019,159668,46,3.4535,0.156,0.405,0.553,0.0953,0.4285,-0.1628,0.5706,5192.8
n4r,"4 qubits/type, 2 layers",3444019,159668,47,3.44,0.146,0.394,0.561,0.0941,0.4296,-0.1644,0.5684,5133.7
n4r,"4 qubits/type, 2 layers",3444019,159668,48,3.4353,0.15,0.402,0.562,0.1009,0.4301,-0.1647,0.5702,5133.9
n4r,"4 qubits/type, 2 layers",3444019,159668,49,3.4274,0.144,0.406,0.563,0.0993,0.4305,-0.1641,0.5708,5121.1
n4r,"4 qubits/type, 2 layers",3444019,159668,50,3.4128,0.144,0.405,0.538,0.0945,0.4321,-0.1636,0.5703,5172.4
n4r,"4 qubits/type, 2 layers",3444019,159668,51,3.4072,0.15,0.403,0.55,0.1023,0.4328,-0.163,0.5655,5176.9
n4r,"4 qubits/type, 2 layers",3444019,159668,52,3.3972,0.147,0.402,0.561,0.1035,0.4334,-0.1634,0.5723,5185.9
n4r,"4 qubits/type, 2 layers",3444019,159668,53,3.3942,0.146,0.39,0.555,0.0975,0.4339,-0.1639,0.5708,5148.4
n4r,"4 qubits/type, 2 layers",3444019,159668,54,3.3882,0.154,0.402,0.551,0.0993,0.4337,-0.164,0.5723,5197.4
n4r,"4 qubits/type, 2 layers",3444019,159668,55,3.374,0.141,0.41,0.555,0.1011,0.434,-0.1641,0.5774,5185.9
n4r,"4 qubits/type, 2 layers",3444019,159668,56,3.3659,0.15,0.399,0.56,0.0999,0.4347,-0.164,0.5737,5224.2
n4r,"4 qubits/type, 2 layers",3444019,159668,57,3.364,0.142,0.404,0.569,0.1015,0.4354,-0.1636,0.571,5063.8
n4r,"4 qubits/type, 2 layers",3444019,159668,58,3.3509,0.147,0.406,0.573,0.1035,0.4346,-0.1632,0.5752,5131.6
n4r,"4 qubits/type, 2 layers",3444019,159668,59,3.3477,0.147,0.422,0.553,0.1017,0.4357,-0.164,0.5769,5168.1
n4r,"4 qubits/type, 2 layers",3444019,159668,60,3.3478,0.152,0.412,0.565,0.1091,0.4371,-0.1637,0.5779,5147.0
n4r,"4 qubits/type, 2 layers",3444019,159668,61,3.3357,0.142,0.403,0.574,0.1067,0.438,-0.1629,0.5752,5119.8
n4r,"4 qubits/type, 2 layers",3444019,159668,62,3.3323,0.147,0.399,0.559,0.1081,0.4386,-0.164,0.5754,5254.2
n4r,"4 qubits/type, 2 layers",3444019,159668,63,3.3294,0.156,0.42,0.571,0.1089,0.4375,-0.1633,0.5789,5191.3
n4r,"4 qubits/type, 2 layers",3444019,159668,64,3.3218,0.144,0.411,0.563,0.1049,0.4384,-0.1641,0.577,5131.5
n4r,"4 qubits/type, 2 layers",3444019,159668,65,3.311,0.144,0.428,0.579,0.1051,0.4387,-0.1643,0.5792,5195.6
n4r,"4 qubits/type, 2 layers",3444019,159668,66,3.3032,0.154,0.419,0.581,0.1045,0.4387,-0.1642,0.5816,5190.1
n4r,"4 qubits/type, 2 layers",3444019,159668,67,3.3046,0.153,0.417,0.579,0.1085,0.4392,-0.1639,0.5807,5199.6
n4r,"4 qubits/type, 2 layers",3444019,159668,68,3.2978,0.156,0.422,0.582,0.1049,0.4394,-0.1636,0.5821,5313.3
n4r,"4 qubits/type, 2 layers",3444019,159668,69,3.2906,0.151,0.422,0.58,0.1089,0.4395,-0.1638,0.5811,5178.4
n4r,"4 qubits/type, 2 layers",3444019,159668,70,3.2887,0.158,0.427,0.566,0.1085,0.4407,-0.164,0.5817,5197.6
n4r,"4 qubits/type, 2 layers",3444019,159668,71,3.2854,0.147,0.425,0.576,0.1059,0.4417,-0.1639,0.5819,5186.3
n4r,"4 qubits/type, 2 layers",3444019,159668,72,3.2719,0.155,0.414,0.581,0.1095,0.4421,-0.1626,0.5807,5190.9
n4r,"4 qubits/type, 2 layers",3444019,159668,73,3.2799,0.144,0.424,0.576,0.1083,0.4412,-0.1629,0.5819,5302.3
n4r,"4 qubits/type, 2 layers",3444019,159668,74,3.2696,0.153,0.425,0.577,0.1079,0.4417,-0.1635,0.5841,5171.5
n4r,"4 qubits/type, 2 layers",3444019,159668,75,3.2599,0.161,0.411,0.576,0.1053,0.4422,-0.1632,0.5792,5168.9
n4r,"4 qubits/type, 2 layers",3444019,159668,76,3.2649,0.157,0.419,0.582,0.1049,0.4427,-0.1634,0.5808,5110.1
n4r,"4 qubits/type, 2 layers",3444019,159668,77,3.2594,0.165,0.414,0.569,0.1085,0.4429,-0.163,0.5873,5171.8
n4r,"4 qubits/type, 2 layers",3444019,159668,78,3.2498,0.148,0.417,0.588,0.1083,0.4431,-0.1636,0.5808,5179.3
n4r,"4 qubits/type, 2 layers",3444019,159668,79,3.2444,0.158,0.424,0.587,0.1067,0.4429,-0.1642,0.5819,5172.8
n4r,"4 qubits/type, 2 layers",3444019,159668,80,3.2352,0.16,0.414,0.577,0.1063,0.4429,-0.1635,0.5855,5160.7
n4r,"4 qubits/type, 2 layers",3444019,159668,81,3.2394,0.16,0.425,0.582,0.1059,0.4425,-0.1631,0.5839,5181.9
n4r,"4 qubits/type, 2 layers",3444019,159668,82,3.2319,0.147,0.43,0.585,0.1065,0.4432,-0.1637,0.5838,5100.4
n4r,"4 qubits/type, 2 layers",3444019,159668,83,3.2311,0.156,0.437,0.583,0.1115,0.4448,-0.1634,0.5868,5188.2
n4r,"4 qubits/type, 2 layers",3444019,159668,84,3.2257,0.16,0.423,0.575,0.1111,0.4447,-0.1641,0.5846,5195.0
n4r,"4 qubits/type, 2 layers",3444019,159668,85,3.2242,0.159,0.43,0.573,0.1105,0.4452,-0.1635,0.5853,6216.2
n4r,"4 qubits/type, 2 layers",3444019,159668,86,3.2206,0.163,0.438,0.574,0.1125,0.4447,-0.164,0.5835,6915.7
n4r,"4 qubits/type, 2 layers",3444019,159668,87,3.2112,0.162,0.437,0.581,0.1095,0.4449,-0.1639,0.5835,6839.1
n4r,"4 qubits/type, 2 layers",3444019,159668,88,3.2101,0.149,0.433,0.581,0.1069,0.4447,-0.1642,0.5864,6470.4
n4r,"4 qubits/type, 2 layers",3444019,159668,89,3.211,0.158,0.421,0.569,0.1097,0.4452,-0.1637,0.5822,6659.5
n4r,"4 qubits/type, 2 layers",3444019,159668,90,3.2076,0.158,0.43,0.586,0.1149,0.4465,-0.1635,0.5865,6840.1
n4r,"4 qubits/type, 2 layers",3444019,159668,91,3.1968,0.156,0.433,0.584,0.1125,0.4471,-0.1632,0.5873,6492.3
n4r,"4 qubits/type, 2 layers",3444019,159668,92,3.1981,0.145,0.438,0.578,0.1091,0.4463,-0.163,0.5831,6262.8
n4r,"4 qubits/type, 2 layers",3444019,159668,93,3.1938,0.158,0.434,0.581,0.1119,0.4466,-0.1641,0.5845,5789.5
n4r,"4 qubits/type, 2 layers",3444019,159668,94,3.1929,0.165,0.425,0.567,0.1081,0.4467,-0.1627,0.5864,5369.1
n4r,"4 qubits/type, 2 layers",3444019,159668,95,3.1845,0.159,0.433,0.581,0.1131,0.4473,-0.1622,0.5867,5201.8
n4r,"4 qubits/type, 2 layers",3444019,159668,96,3.1801,0.16,0.439,0.586,0.1107,0.4476,-0.1622,0.587,5254.9
n4r,"4 qubits/type, 2 layers",3444019,159668,97,3.1815,0.16,0.422,0.574,0.1073,0.4479,-0.163,0.584,6542.2
n4r,"4 qubits/type, 2 layers",3444019,159668,98,3.1759,0.146,0.423,0.575,0.1097,0.4479,-0.1629,0.5837,8109.1
n4r,"4 qubits/type, 2 layers",3444019,159668,99,3.1768,0.157,0.418,0.587,0.1127,0.4485,-0.1625,0.5876,6897.4
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,0,4.5211,0.003,0.011,0.016,0.001,0.0001,-0.0572,,79.8
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,1,4.5118,0.007,0.025,0.036,0.001,0.0009,-0.1002,,74.7
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,2,4.4684,0.013,0.03,0.042,0.0012,0.0027,-0.1262,,81.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,3,4.3725,0.013,0.036,0.054,0.0024,0.006,-0.1349,,74.8
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,4,4.2473,0.014,0.047,0.067,0.0028,0.0081,-0.1368,,74.8
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,5,4.1091,0.013,0.055,0.075,0.0032,0.0107,-0.1432,,74.4
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,6,3.9864,0.014,0.056,0.079,0.004,0.012,-0.143,,75.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,7,3.8278,0.017,0.056,0.082,0.0048,0.0131,-0.1503,,74.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,8,3.6864,0.017,0.055,0.091,0.006,0.0142,-0.1534,,81.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,9,3.5859,0.012,0.062,0.094,0.0046,0.0151,-0.1545,,77.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,10,3.4527,0.02,0.067,0.095,0.0066,0.0168,-0.158,,92.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,11,3.2775,0.019,0.074,0.098,0.006,0.0176,-0.1635,,78.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,12,3.1821,0.021,0.069,0.104,0.007,0.0185,-0.1674,,76.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,13,3.0263,0.02,0.069,0.115,0.0076,0.0201,-0.1712,,89.0
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,14,2.9096,0.024,0.077,0.11,0.0074,0.0207,-0.1747,,74.8
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,15,2.834,0.024,0.077,0.122,0.0072,0.0205,-0.1785,,75.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,16,2.6848,0.02,0.076,0.126,0.0098,0.0217,-0.1826,,90.7
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,17,2.6122,0.026,0.076,0.121,0.0084,0.0217,-0.1865,,81.3
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,18,2.5001,0.022,0.085,0.123,0.0092,0.022,-0.1878,,77.9
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,19,2.4245,0.018,0.077,0.123,0.0082,0.0222,-0.192,,79.9
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,20,2.3322,0.026,0.078,0.115,0.0074,0.0222,-0.1945,,92.7
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,21,2.2511,0.023,0.079,0.121,0.0094,0.0224,-0.1946,,93.3
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,22,2.1344,0.025,0.091,0.133,0.0088,0.0227,-0.1975,,92.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,23,2.0531,0.029,0.086,0.129,0.0098,0.023,-0.2014,,92.7
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,24,2.0334,0.023,0.088,0.143,0.0094,0.0237,-0.2046,,91.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,25,1.9444,0.024,0.089,0.139,0.0108,0.0237,-0.2085,,80.4
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,26,1.9257,0.024,0.092,0.134,0.0112,0.024,-0.2103,,78.6
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,27,1.8301,0.03,0.096,0.136,0.0106,0.0245,-0.2117,,93.5
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,28,1.7452,0.029,0.084,0.111,0.0096,0.0241,-0.2135,,77.8
q-tn10k-10389788.out@10k,q-tn10k-10389788.out@10k,660192934,0,29,1.727,0.021,0.075,0.12,0.0106,0.0243,-0.2159,,89.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,0,4.2656,0.001,0.005,0.013,0.001,-0.0,-0.0007,,38.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,1,4.2749,0.001,0.004,0.012,0.001,-0.0,-0.0014,,38.3
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,2,4.2744,0.002,0.008,0.013,0.001,-0.0,-0.0056,,39.3
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,3,4.2726,0.0,0.006,0.01,0.001,-0.0,-0.0215,,37.9
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,4,4.2734,0.002,0.007,0.013,0.001,0.0,-0.0297,,45.2
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,5,4.2694,0.003,0.011,0.02,0.001,0.0004,-0.0594,,52.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,6,4.2621,0.003,0.014,0.022,0.001,0.0006,-0.0732,,58.5
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,7,4.25,0.001,0.015,0.026,0.001,0.001,-0.0824,,50.1
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,8,4.2406,0.004,0.016,0.021,0.001,0.0015,-0.0886,,64.1
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,9,4.2249,0.004,0.021,0.031,0.0012,0.0021,-0.0934,,64.9
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,10,4.2038,0.006,0.017,0.033,0.0014,0.0024,-0.0972,,58.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,11,4.1907,0.008,0.021,0.043,0.0016,0.003,-0.1033,,66.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,12,4.1707,0.005,0.02,0.033,0.0014,0.0033,-0.1038,,63.0
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,13,4.1673,0.005,0.019,0.04,0.0014,0.004,-0.1052,,56.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,14,4.1291,0.006,0.027,0.05,0.0018,0.0045,-0.1099,,60.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,15,4.1074,0.007,0.033,0.053,0.0018,0.0052,-0.1123,,60.9
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,16,4.0933,0.012,0.042,0.054,0.0024,0.0057,-0.114,,59.0
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,17,4.0688,0.007,0.038,0.059,0.0024,0.0061,-0.1162,,60.5
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,18,4.0381,0.009,0.034,0.062,0.0024,0.0068,-0.118,,58.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,19,4.0159,0.008,0.037,0.065,0.002,0.0075,-0.1211,,66.0
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,20,3.9898,0.008,0.039,0.064,0.0028,0.0082,-0.1226,,73.3
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,21,3.9796,0.012,0.054,0.077,0.0028,0.0085,-0.1245,,67.0
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,22,3.9494,0.005,0.037,0.07,0.0026,0.0091,-0.1267,,70.3
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,23,3.9307,0.005,0.05,0.071,0.0034,0.0096,-0.1281,,59.8
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,24,3.9051,0.01,0.051,0.079,0.0034,0.0102,-0.1293,,60.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,25,3.9011,0.014,0.051,0.081,0.0032,0.0104,-0.1302,,59.5
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,26,3.8718,0.01,0.05,0.082,0.0034,0.0108,-0.1333,,69.4
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,27,3.8647,0.009,0.051,0.079,0.0036,0.011,-0.1352,,66.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,28,3.842,0.012,0.051,0.085,0.004,0.0111,-0.1365,,52.6
q-tn10k_small-10394833.out@10k,q-tn10k_small-10394833.out@10k,49159718,0,29,3.8122,0.016,0.048,0.075,0.0042,0.012,-0.1395,,56.6
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,0,4.5211,0.004,0.011,0.016,0.001,0.0001,-0.0572,,144.4
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,1,4.5118,0.008,0.025,0.036,0.001,0.0009,-0.1002,,91.7
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,2,4.4684,0.013,0.03,0.042,0.0012,0.0027,-0.1262,,96.1
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,3,4.3725,0.014,0.036,0.054,0.0024,0.006,-0.1349,,90.1
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,4,4.2473,0.014,0.046,0.067,0.0028,0.0081,-0.1368,,92.8
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,5,4.1091,0.012,0.055,0.075,0.0032,0.0107,-0.1432,,96.5
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,6,3.986,0.016,0.057,0.078,0.004,0.012,-0.143,,95.3
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,7,3.8286,0.019,0.056,0.086,0.0048,0.013,-0.1494,,91.4
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,8,3.6853,0.015,0.063,0.088,0.0064,0.0141,-0.1531,,96.6
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,9,3.5876,0.013,0.06,0.094,0.0056,0.0151,-0.1545,,94.1
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,10,3.4475,0.021,0.066,0.097,0.007,0.017,-0.1572,,97.3
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,11,3.2726,0.026,0.073,0.099,0.0062,0.0176,-0.1654,,94.3
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,12,3.1791,0.025,0.07,0.107,0.0066,0.0183,-0.1693,,92.9
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,13,3.0316,0.021,0.077,0.118,0.0072,0.0199,-0.1716,,107.2
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,14,2.9133,0.027,0.076,0.107,0.0078,0.0199,-0.1743,,97.7
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,15,2.8361,0.023,0.074,0.111,0.0072,0.0201,-0.1785,,97.8
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,16,2.6879,0.024,0.077,0.114,0.0084,0.0207,-0.1826,,93.2
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,17,2.6094,0.026,0.071,0.117,0.007,0.0211,-0.1857,,97.9
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,18,2.5095,0.023,0.073,0.111,0.0072,0.0219,-0.1869,,104.7
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,19,2.4231,0.021,0.082,0.121,0.008,0.0221,-0.1915,,97.6
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,20,2.3279,0.022,0.078,0.122,0.0074,0.0215,-0.1954,,106.5
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,21,2.2338,0.021,0.077,0.122,0.0066,0.0222,-0.196,,95.0
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,22,2.1415,0.023,0.086,0.143,0.0098,0.0227,-0.1996,,93.8
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,23,2.0541,0.022,0.084,0.128,0.0084,0.0228,-0.2029,,100.7
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,24,2.0285,0.02,0.097,0.138,0.0106,0.0231,-0.2042,,103.1
q-tn10k_spider-10392852.out@10k,q-tn10k_spider-10392852.out@10k,660192934,0,25,1.9408,0.024,0.089,0.13,0.0096,0.0229,-0.2071,,108.5
